# key Si N C H F r(Si) r(N) r(C) r(H) r(F)
5.100000000000000000e+02 3.105413105413105157e+01 3.678379233934789028e+01 8.800253244697687549e+00 0.000000000000000000e+00 9.971509971509970427e+00 3.585526315789473450e-01 4.247076023391813115e-01 1.016081871345029253e-01 0.000000000000000000e+00 1.151315789473684181e-01
5.200000000000000000e+02 3.091650973006904835e+01 3.647206528562460193e+01 9.008160703075956732e+00 0.000000000000000000e+00 1.023226616446955362e+01 3.568840579710144678e-01 4.210144927536231818e-01 1.039855072463768126e-01 0.000000000000000000e+00 1.181159420289855100e-01
5.300000000000000000e+02 3.052568697729988401e+01 3.581242532855436167e+01 9.109916367980884999e+00 0.000000000000000000e+00 1.012544802867383531e+01 3.567190226876090775e-01 4.184991273996509498e-01 1.064572425828970298e-01 0.000000000000000000e+00 1.183246073298429291e-01
5.400000000000000000e+02 3.033273915626856621e+01 3.562091503267973280e+01 9.298871063576944707e+00 0.000000000000000000e+00 1.027926322043968987e+01 3.546370267453977099e-01 4.164640500173671378e-01 1.087183049670024382e-01 0.000000000000000000e+00 1.201806182702327142e-01
5.500000000000000000e+02 3.007246376811594502e+01 3.523550724637681242e+01 9.329710144927537030e+00 0.000000000000000000e+00 1.047705314009661848e+01 3.533167789996452535e-01 4.139765874423554370e-01 1.096133380631429538e-01 0.000000000000000000e+00 1.230932954948563279e-01
5.600000000000000000e+02 3.006006006006006359e+01 3.522522522522523047e+01 9.369369369369369593e+00 0.000000000000000000e+00 1.060060060060060216e+01 3.525889397675237569e-01 4.131736526946107602e-01 1.098978513561113118e-01 0.000000000000000000e+00 1.243395561817541434e-01
5.700000000000000000e+02 2.992831541218637526e+01 3.527479091995220273e+01 9.378733572281959141e+00 0.000000000000000000e+00 1.051373954599760907e+01 3.517023517023517010e-01 4.145314145314145104e-01 1.102141102141102197e-01 0.000000000000000000e+00 1.235521235521235550e-01
5.800000000000000000e+02 2.998556998556998821e+01 3.538239538239538717e+01 9.350649350649350211e+00 0.000000000000000000e+00 1.030303030303030276e+01 3.526816021724372141e-01 4.161575016972165475e-01 1.099796334012219934e-01 0.000000000000000000e+00 1.211812627291242311e-01
5.900000000000000000e+02 2.984366275823561665e+01 3.506420993858179003e+01 9.463986599664989896e+00 0.000000000000000000e+00 1.027359017308765843e+01 3.525725593667546343e-01 4.142480211081794317e-01 1.118073878627968282e-01 0.000000000000000000e+00 1.213720316622691336e-01
6.000000000000000000e+02 3.001700680272108812e+01 3.543083900226757521e+01 9.410430839002266623e+00 0.000000000000000000e+00 1.026077097505668867e+01 3.526473526473526410e-01 4.162504162504162553e-01 1.105561105561105595e-01 0.000000000000000000e+00 1.205461205461205443e-01
6.100000000000000000e+02 2.205781613919714701e+01 2.449650637073571247e+01 7.644882860665843438e+00 0.000000000000000000e+00 7.548979312234552097e+00 3.572220989571777139e-01 3.967162192145551325e-01 1.238074106944752617e-01 0.000000000000000000e+00 1.222542711337918780e-01
6.200000000000000000e+02 3.062330623306232980e+01 3.589280337247816988e+01 9.454983438723276734e+00 0.000000000000000000e+00 1.032821439325504365e+01 3.548499651081646888e-01 4.159106769016050476e-01 1.095603628750872333e-01 0.000000000000000000e+00 1.196789951151430581e-01
6.300000000000000000e+02 3.063973063973063660e+01 3.605754514845423842e+01 9.733700642791552227e+00 0.000000000000000000e+00 1.043771043771043772e+01 3.527131782945736593e-01 4.150810429880197328e-01 1.120507399577167079e-01 0.000000000000000000e+00 1.201550387596899278e-01
6.400000000000000000e+02 3.036633363608840952e+01 3.590675143808659442e+01 9.718437783832881038e+00 0.000000000000000000e+00 1.029367241901302066e+01 3.519298245614034815e-01 4.161403508771929771e-01 1.126315789473684159e-01 0.000000000000000000e+00 1.192982456140350839e-01
